group,page,number,title,parts,notes,shelfmark
,,6,dto von dto in Amol.,8,dto ½ dto.,I 6
,,7,dto von dto in Amol.,6,,I 7
,,8,dto von dto in A.,8,,I 8
,,9,dto von dto in F.,8,,I 9
,,10,dto von dto in C.,8,dto ½ dto.,I 10
[J] Regina Coeli,97,11,dto [= Regina Coeli] von Gregor Werner in C.,6,,J 11
,,12,dto von dto in A,5,,J 12
,,13,dto von dto in C.,8,dto [=Sopran und Alt] 1/4tl. dto. [= zu dupliren],J 13
,,14,dto von dto in C.,9,,J 14
,,15,dto von dto in B.,8,,J 15
,,16,dto von dto in G.,8,dto 1/4tl. dto.,J 16
,,17,dto von dto in B.,8,,J 17
,,18,dto von dto in C.,8,dto ½ dto.,J 18
,,19,dto von dto in F.,8,dto ½ dto.,J 19
[K] Salve Regina,101,3,3 [correct: 4] dto [= Salve Regina] von dto [=einem unbek Cop.],8,,"K 3:1, K 3:2, K 3:3, K 3:4"
,,5,1 Salve Regina von dto [=einem unbek Cop.] in C,6,,K 5
,,20,dto von Gregor Werner in F.,5,,K 20
,,21,dto von dto in C.,5,,K 21
,,22,dto von dto in D.,4,,K 22
,,23,B.,5,,K 23
,,24,dto von dto in Amol.,5,,K 24
,,25,dto von dto in Dmol.,9,,K 25
,,26,dto von dto in D.,10,,K 26
,103,27,Salve Regina von Gregor Werner in Gmol.,8,,K 27
,,28,dto von dto in G.,8,Sopran und Alt ½ Bogen zu dupliren,K 28
,,29,dto von dto in C.,8,,K 29
,,30,dto von dto in D.,8,dto ½ dto.,K 30
,,31,dto von dto in G.,8,,K 31
,,32,dto von dto in C.,8,dto ½ dto.,K 32
,,33,dto von dto in D.,8,dto ½ dto.,K 33
,,34,dto von dto in Amol.,8,dto ½ dto.,K 34
[L] Sub tuum Praesidium,107,1,Sub tuum Praesidium von Gregor Werner in C.,8,,L 1
,,2,dto dto in Amol.,6,,L 2
,,3,dto dto in D.,9,,L 3
,,4,dto dto in C.,8,,L 4
,,5,dto dto in D.,8,,L 5
,,6,dto dto in G.,8,,L 6
,,7,dto dto in G.,8,,L 7
,,8,dto dto in C.,6,,L 8
,,9,dto dto in Amol.,8,,L 9
,,10,dto dto in C.,8,,L 10
,,11,dto dto in C.,8,,L 11
,,12,dto dto in G.,8,,L 12
,,13,dto dto in F.,8,,L 13
[M] Hymnus,109,2,dto [= Hymnus] von Gregor Werner in Gmol | in Nativitate et CIrcumcisione | Domini.,9,[right curly brace comprising no. 1–14] Sopran und Alt a ½ Bogen zu dupliren.,M 2
,,3,dto vom obigen in F. | in Nativitate et Circumcisione | Domini,8,,M 3
,,4,dto vom obigen in Gmol. | in Epiphania Domini,8,,M 4
,,5,dto. vom obigen in D. | in Epiphania a 4 Voci.,8,,M 5
,,6,dto vom obigen in B. | De SS. Nomine Jesu.,8,,M 6
,,7,dto vom obigen in G. | In Conversione Sancti Pauli.,8,,M 7
,,8,Ecce Panis Angelorum in C. | von Gregor Werner.,7,,M 8
,,9,Hymnus de Apoſtolis von dto in B. | Tempore Paschali.,8,,M 9
,,10,dto de Ascensione Domini | von obigem in Dmol.,8,,M 10
,,11,dt in Ascensione Domini von | obigem in Amol.,8,,M 11
,,12,dto in Feſto Corporis Christi | von obigem in Amol.,8,,M 12
,,13,Hymnus in Feſto Pentecoſtes | von obigem in C.,8,,M 13
,,14,dto De SS. Joanne Baptista | von obigem in D.,8,,M 14
