number,title,id,check_link,date,folder,onb,classification,number_moder,notes
85/2,In Parasceve. Lamentationes 3,K.3,true,2025-10-21,85/2,AC14308585,notebook (oblong),25,
85/3,Sub tuum praesidium,I.5.16,true,2025-12-03,85/3–5,AC14308603,notebook (oblong),26,
85/4,Ave Regina,I.2.4,true,2025-12-03,85/3–5,AC14308505,notebook (oblong),26,
85/5,Sub tuum praesidium,I.5.21,true,2025-12-03,85/3–5,AC14308604,notebook (oblong),26,
85/6,Sub tuum praesidium,I.5.26,true,2026-03-06,85/6–8,AC14308607,notebook (oblong),27,
85/7,Sub tuum ,I.5.24,true,2026-03-06,85/6–8,AC14308612,notebook (oblong),27,
85/8,Sub tuum praesidium,I.5.17,true,2026-03-06,85/6–8,AC14308613,notebook (oblong),27,
86,Salve Regina,I.4.20,true,2026-03-06,86–89,AC14308597,notebook (oblong),28,
87,Chorus,D.2.5,true,2026-03-06,86–89,AC14308629,notebook (oblong),28,
88,Sub tuum praesidium,I.5.18,true,2026-03-06,86–89,AC14308614,notebook (oblong),28,
89,Sub tuum praesidium,I.5.23,true,2026-03-06,86–89,AC14308615,notebook (oblong),28,
90,Regina coeli,I.3.1,true,2026-05-04,90–93,AC14308579,notebook (oblong),29,
91,Ecce panis Angelorum,F.60,true,2026-05-04,90–93,AC14308512,notebook (oblong),29,
92,Pange lingua,D.5.S3,true,2026-05-04,90–93,AC14308571,notebook (oblong),29,
93,Hymnus de Sta.Cruce,F.4,true,2026-05-04,90–93,AC14308528,notebook (oblong),29,
94/1,Motetto de Immaculata Conceptione,,,,,,,,notebook 30?
94/2,Sub tuum praesidium,,,,,,,,
94/3,Ave Regina,I.2.6,true,2026-03-06,94/3–5,AC14308506,notebook (oblong),31,
94/4,Alma Redemptoris,I.1.4,true,2026-03-06,94/3–5,AC14308487,notebook (oblong),31,
94/5,Regina coeli,I.3.8,true,2026-03-06,94/3–5,AC14308580,notebook (oblong),31,
95,Regina coeli,I.3.3,true,2026-05-04,95–97,AC14308578,notebook (oblong),32,
96,Ave Regina coelorum,I.2.16,true,2026-05-04,95–97,AC14308507,notebook (oblong),32,
97,Hymnus de Beate Virgine,F.59,true,2026-05-04,95–97,AC14308521,notebook (oblong),32,
98/1,Sub tuum praesidium,I.5.27,true,2025-03-05,98/1–3,AC14308616,notebook (oblong),33,
98/2,Sub tuum praesidium,I.5.13,true,2025-03-05,98/1–3,AC14308610,notebook (oblong),33,
98/3,Sub tuum praesidium,I.5.10,true,2025-03-05,98/1–3,AC14308611,notebook (oblong),33,
98/4,Alma Redemptoris,I.1.1,true,2026-02-12,98/4–5,AC14308486,notebook (oblong),34,
98/5,Ave Regina,I.2.8,true,2026-02-12,98/4–5,AC14308502,notebook (oblong),34,
99,Regina coeli laetare,I.3.21,true,2025-03-05,99–100,AC14308577,notebook (oblong),35,
100,Salve Regina,I.4.4,true,2025-03-05,99–100,AC14308598,notebook (oblong),35,
101,Alma Redemptoris,I.1.30,true,2026-02-12,101–102,AC14308491,notebook (oblong),36,
